bytecode,label,attack_type,description
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2001e752210a9,1,REENTRANCY,REENTRANCY_synthetic_14
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f200798ef86d43,1,REENTRANCY,REENTRANCY_synthetic_15
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f200f27cf2d0613031dcb5d8d2ef1b321f,1,REENTRANCY,REENTRANCY_synthetic_16
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f200ad377f6261e547d85d8e,1,REENTRANCY,REENTRANCY_synthetic_17
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2007f26e23219072f7955d0f8,1,REENTRANCY,REENTRANCY_synthetic_18
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2006dcd1e54c201c787e892d8,1,REENTRANCY,REENTRANCY_synthetic_19
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00f94f61976f1d1fa01d19f4501d295f,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_0
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff002278ce3d7e,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_1
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff001429d6a18568a07a87ca4399ea,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_2
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff002504ea33256d8743b2,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_3
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff007dbd9150e0,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_4
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff009a04993544873b364f8b906b,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_5
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00af6887fa801a2fd88d1601aa428652,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_6
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00e2da0439264c12bd4bdc41159dba14,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_7
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff006b7f34b5d04f79535a,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_8
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff000c5baad27f885137c313,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_9
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff007166ebb39c74720c62cca8,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_10
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00238eb3cca90e3b85,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_11
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00871337deb0a0,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_12
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff003bc5618216df0064badc,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_13
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00a9a03f999e,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_14
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00d1a7ce974162d7c2599acf009b92,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_15
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00dca4eee2e26df2,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_16
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00562b91ab2f789e73654b0c177df325e9,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_17
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff0063c4fdcc7c4b0236d970,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_18
0x6080604052ffffffffffffffffffffffff6000ff6000ff6000ff6000ff00ed197f3ee944,2,SELFDESTRUCT,SELFDESTRUCT_synthetic_19
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400eda2e2dae451f3e6847e8df87a8ce127,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_0
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f40092788baba329464d76c44e6d20d4d0,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_1
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400eed41f69d7c70ac2f4,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_2
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400b498c7d6,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_3
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f40070f9708bdff80ec7accf54ef,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_4
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f4000dc90d2adb45,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_5
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f4005d1985c2a76ce8a7acc28e,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_6
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400d78129f0091ab37223140f7e660a4e7a,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_7
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400f23a6fee83bc,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_8
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f4003a539f370d9f,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_9
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400c0cb65267c349a3d15b1dbbd23,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_10
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400ae06d7fa36ddb9eb4ede5a8a,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_11
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400f7eedf89a57d2c8ee67cedc2ac,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_12
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400fda65df9,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_13
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400b584ae8f8d0561,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_14
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f4007bd0fa7bf3,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_15
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400fbe5082f9671cf7c9cbcf2b0d9a9,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_16
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400e88a9c80763d62a13d,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_17
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f4005e626ef78d9033639774b85b9a0740,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_18
0x6080604052f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4600060006000600060006000f4600060006000600060006000f4600060006000600060006000f400171b9540fb340691,3,DELEGATECALL_ABUSE,DELEGATECALL_ABUSE_synthetic_19
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500f5e1ae5e1a81f43a21cdfb,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_0
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f5001b4d4c9b2b,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_1
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f5003cd573c2e6e298,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_2
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500db9c1e326a6c8729507a582650,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_3
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500d1e6f095,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_4
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500769390e8,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_5
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500778765d93a,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_6
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500734c8848241e549d93e03fef,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_7
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f5009bce8bfce02914dda5800d2e750a89,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_8
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f5001459f0e28e5cdffb2ef0b2d1aa,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_9
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f5003552a8d2fd93cd12e8,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_10
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500a181a53bce,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_11
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f50000ecd31b60b9ffe21a688843,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_12
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500e0f83e0e7a519f07,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_13
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500d02f733aec3c4eff958bd4f7,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_14
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f5007ce94ac46145238dd4ae88,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_15
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f5009098fa4c,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_16
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500f7b0aac1e9a4607ac477d2,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_17
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f500a2f2c3c5,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_18
0x6080604052f0f0f0f0f0f0f5f5f5f5f5f5600060006000f0600060006000f0600060006000f06000600060006000f56000600060006000f56000600060006000f5004dfd1240a933e133e90749d14f26,4,FACTORY_ATTACK,FACTORY_ATTACK_synthetic_19
0x6080604052555555555555555555555555555555600060005560016001556002600255600360035560046004556005600555600660065560076007550087adcb29a8c2a2f9122378,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_0
0x6080604052555555555555555555555555555555600060005560016001556002600255600360035560046004556005600555600660065560076007550093742ede3233e355990e17a61c96,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_1
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500bfdc4a7dd25c575928,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_2
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500c37bfe4976ec82eb8204ee9350,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_3
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500e2b099d980,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_4
0x608060405255555555555555555555555555555560006000556001600155600260025560036003556004600455600560055560066006556007600755009a65c4f73679c3b797970b,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_5
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500ca8c0419fe9275b4706180463114,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_6
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500e111ba432e97a7d4,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_7
0x608060405255555555555555555555555555555560006000556001600155600260025560036003556004600455600560055560066006556007600755006643bb8b5483,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_8
0x6080604052555555555555555555555555555555600060005560016001556002600255600360035560046004556005600555600660065560076007550097ad3aef264873cbbb2eca,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_9
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500873fe8bc,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_10
0x6080604052555555555555555555555555555555600060005560016001556002600255600360035560046004556005600555600660065560076007550086c3be3777f10ca77120ed9ad13b,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_11
0x6080604052555555555555555555555555555555600060005560016001556002600255600360035560046004556005600555600660065560076007550017139bfc3b31,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_12
0x6080604052555555555555555555555555555555600060005560016001556002600255600360035560046004556005600555600660065560076007550045c6e8bdd64fd4,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_13
0x6080604052555555555555555555555555555555600060005560016001556002600255600360035560046004556005600555600660065560076007550032fad08f10bd6fe3e378b932bcb7,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_14
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500cb8d613e,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_15
0x608060405255555555555555555555555555555560006000556001600155600260025560036003556004600455600560055560066006556007600755002e6c0a19aa7c4069236a6e,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_16
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500a84b018d4a4280,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_17
0x6080604052555555555555555555555555555555600060005560016001556002600255600360035560046004556005600555600660065560076007550059380d4307b779a50859871a40d73a20,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_18
0x60806040525555555555555555555555555555556000600055600160015560026002556003600355600460045560056005556006600655600760075500e5b937e771169aea0f1ff5,5,STORAGE_MANIP,STORAGE_MANIP_synthetic_19
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00da37fbe32529a44b2140,6,OBFUSCATED,OBFUSCATED_synthetic_0
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00a6c396e8dc323a6e,6,OBFUSCATED,OBFUSCATED_synthetic_1
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00e774d3ade8ccd430a0da,6,OBFUSCATED,OBFUSCATED_synthetic_2
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b0082bf4ef2222e2b2fdd,6,OBFUSCATED,OBFUSCATED_synthetic_3
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00be421ea83e,6,OBFUSCATED,OBFUSCATED_synthetic_4
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00b5d81a939fb4356c4ff6,6,OBFUSCATED,OBFUSCATED_synthetic_5
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b0037b3bc3a8e73db,6,OBFUSCATED,OBFUSCATED_synthetic_6
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b000d880e5c8b9eadb3035c49cd,6,OBFUSCATED,OBFUSCATED_synthetic_7
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00480f2e6ec0,6,OBFUSCATED,OBFUSCATED_synthetic_8
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00e8ae50bd9fa62b1a4f50,6,OBFUSCATED,OBFUSCATED_synthetic_9
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b0019298be2d9f8e2d48b6e3ab0dc3891f9,6,OBFUSCATED,OBFUSCATED_synthetic_10
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b009d1770ca1c03689a6c468294,6,OBFUSCATED,OBFUSCATED_synthetic_11
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b003d03fedc5942c275b5,6,OBFUSCATED,OBFUSCATED_synthetic_12
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00cb15df09eb,6,OBFUSCATED,OBFUSCATED_synthetic_13
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00a0dbcfd594,6,OBFUSCATED,OBFUSCATED_synthetic_14
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00cf0aa657eb,6,OBFUSCATED,OBFUSCATED_synthetic_15
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00b92ddf367cdfcd28ca9ead71aa5627,6,OBFUSCATED,OBFUSCATED_synthetic_16
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b003a63b2b34b78344a8365584e,6,OBFUSCATED,OBFUSCATED_synthetic_17
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00265afcede5a5a14de122f0e29b8c1cb4,6,OBFUSCATED,OBFUSCATED_synthetic_18
0x608060405257575757575757575757565656565656565656565b5b5b5b5b5b5b5b6001576001565b6001576001565b6001576001565b6001576001565b6001576001565b00259eece7131dbc92272ec4ec,6,OBFUSCATED,OBFUSCATED_synthetic_19
